date,topic,speaker,text,category,text_length
2025-02-27,School Accommodation,Deputy Helen McEntee,"I thank the Deputy. The expansion of capacity at special schools is an important priority for me, the Minister of State, Deputy Michael Moynihan and my Department. I know this is an absolute priority for the Deputy and indeed for Councillor Burgess. Both of them have raised this consistently with me. The Deputy raised it when he became a Member of the House and when I entered this position. I wanted to acknowledge that and his support for this school. My Department has been working closely with the school in question on an ongoing basis to assess its accommodation requirements with respect to classrooms and ancillary accommodation to determine the most appropriate delivery mechanism for meeting that overall need. As part of that process, my Department’s team have undertaken a number of site visits to the school and met the school authority. Back in 2023 the Department approved the provision of modular accommodation of four classrooms for the school in question to cater for its immediate needs and I am pleased to say this accommodation was completed in 2024. Following analysis by my Department and engagement with the school authority, I am pleased to confirm the accommodation brief for the remaining 14 classrooms and associated ancillary accommodation has recently being issued to the school authority for its approval. My Department considers that this accommodation could be delivered for the school with the support of the project managers under the Department’s timber frame modular framework. As this is a very significant project that will add capacity and transform facilities for the school my Department will engage extensively with the school leaders to ensure we can roll this out as soon as possible. The Deputy will also be aware my Department will be establishing a new special school in Nenagh as part of its broader forward planning for additional special school places. To my colleague's comments earlier, it is vital every child had access to the education they are entitled to in the place they want it to be in, as far as possible, but also that they get the supports they need. This school is vital to that in the Deputy's county, but there is an acknowledgement more needs to be done not just in Tipperary but across the country as well. We are absolutely committed to providing that support, that expansion and that important education.",Housing,2378
2025-02-26,Military Neutrality,Deputy Simon Harris,I gave them to him; does he want them again? They were: the United Nations Preventive Deployment Force in 1999; in 2015 the Mediterranean operation known as Operation Sophia; the Maritime Analysis Operations Centre (Narcotics) mission operation; and a UN authorisation for EUFOR Operation Althea in Bosnia Herzegovina that we nearly had to miss out on too. These are the examples.,Defence & Security,380
2025-03-19,Taoiseach's Meetings and Engagements,Deputy Ruth Coppinger,Can the Cathaoirleach Gníomhach give everyone an equal amount of time?,Government & Administration,70
2024-07-02,Defence Forces,Deputy Micheál Martin,"I propose to take Questions Nos. 64, 65, 71 and 90 together. I thank the Deputies for their questions. As they are aware, the Defence Forces is a disciplined service with an extensive suite of regulations that govern all aspects of military life. The regulations have been used effectively to discharge personnel in cases where such personnel have received a conviction. Subject to the provisions of DFR A.10, paragraph 58(m), an enlisted person of the Permanent Defence Force may be discharged as a result of conviction by the civil power. This regulation refers to all convictions by a civil court of law. In a similar vein, there are provisions in the Defence Act and DFR A.15 to dismiss or retire an officer in these circumstances. While there is no specific mechanism for suspension in the Defence Forces regulations, the Defence Forces have in the past used and continue to use other mechanisms including specific local leave arrangements which reflect the aim of suspension. Local leave is provided for in DFR A.11. It is essential that this provision is applied uniformly across the organisation. To that end, as already stated, with immediate effect, any serving member who has been convicted of sexual assault or rape and is awaiting discharge or trial is to be placed on local leave on a without-prejudice basis. This approach is in line with existing regulations. I have appointed Peter Ward senior counsel to undertake a high-level analysis of the application of military law in circumstances where personnel have been convicted of serious offences in the civil courts. Mr. Ward will be asked to come back with an outcome of this high-level analysis along with any recommendations and any enhanced powers that may be necessary to improve processes, regulations, legislation and reporting arrangements. The terms of reference are almost finalised.",Defence & Security,1859
2025-06-24,Road Projects,Deputy Jerry Buttimer,"I hear loud and clear Deputy Aird's advocacy for the importance of this route. I remind him that this Government under the Minister, Deputy O'Brien, the Minister of State, Deputy Canney, and I has seen a further €2.9 million for the protection and renewal of the road network and we are investing €1 billion in new national road projects over the coming decade. I also say regarding the NDP review that it is up to all local authorities to work with TII and the Department to ensure projects get consideration. I hear the Deputy on sustainability and the issue of traffic gridlock and road safety, but the programme for Government contains a commitment to increase funding for new roads as part of the NDP review, as I have said. That is about ensuring we see town bypasses completed and we see work continue and carried out on regional connectivity. Deputy Aird has made a good point tonight. I am sure the advocacy work that he is doing and will continue to do will be well received in the Department. We hear the Deputy tonight, but I remind him that the two road projects I have listed are under way. Laois County Council has appointed a technical adviser and tenders are being assessed. It is important that Laois County Council engages in the NDP review.",Transport & Infrastructure,1260
2024-07-03,Taoiseach's Meetings and Engagements,Deputy Brendan Smith,"I thank the Taoiseach for his response. The Cathaoirleach, other Members of the Dáil and Seanad and I met a delegation from the Ukrainian Parliament yesterday. One of the things the delegation emphasised to us was something of which we are all well aware, namely, the difficulty those people face with a reduction in energy grid capacity. It is under enormous pressure. The country needs generators and transformers. In his deliberations with other Heads of Government at formal and informal meetings, I would like the Taoiseach to keep that particular issue on the agenda as much as possible, as well as all of the other important issues. The delegation was very pleased that we were one of the first countries to emphasise the need to fast-track membership of the European Union for Ukraine. That is particularly important and it is a policy we should keep driving as much as possible with the new Commission and at Heads of Government level. Monitoring of sanctions against Russia is essential. A recent programme on a British television channel showed that Russian products are coming into Europe and are making huge profits for the Russian Government, oligarchs and others. Europe must be very vigilant in ensuring the sanctions imposed are implemented in full and have the desired effect on Russia.",Government & Administration,1304
2024-09-26,Agriculture Industry,Deputy Charlie McConalogue,"It is always the case. There should be exceptional circumstances, and they would have to engage and explain those circumstances from an animal welfare point of view. There is a long slurry-spreading season from early spring until 1 October. The use of chemical fertilisers finishes in mid-September. As I say, grass does not grow in mid- or late October and November in the same the way it does in April, May or June. As for nutrients, if they are applied, it is not the time to be spreading either fertiliser or manure because this is not the time of year for animals. We hope to get a long growing season. It would be a good deal if animals could continue to graze until 1 November in most parts of the country but any land on which slurry is spread up to, for example 8 or 15 October, will not be ready for grazing by 1 November. Those nutrients will still be sitting in the soil in November. There is every likelihood and a high risk, subject to weather patterns, of their potentially ending up where we do not want them to end up, particularly if they are not utilised by plants. We cannot have such a situation. I have considered this matter. I am always flexible in circumstances where it is absolutely needed, but autumn this year is, thankfully, very different from autumn last year. Our collective priority must be to protect water quality and ensure, through that, that we retain our nitrates derogation. The negotiations relating to the latter will take place in the coming year - in the spring and summer - and the objective is t have it renewed for the following year.",Agriculture & Rural,1582
2025-03-27,Departmental Schemes,Deputy Pa Daly,I would like an update on the town and village renewal scheme. Will the Minister make a statement on that?,Government & Administration,106
2025-06-24,Industrial Relations,Deputy Ruth Coppinger,"I want to raise with the Taoiseach the issue of union busting and anti-union tactics by companies which are in receipt of huge State contracts and whether he thinks that is acceptable. One of the companies is one of the largest mechanical contractors in the State, Jones Engineering, which has a contract for the national children's hospital and potentially other State contracts. It has consistently been hostile to members joining the union of their choice, Unite, so much so that it has attached three senior shop stewards to High Court proceedings, subjecting them, potentially, to huge costs and damages. People have also been subjected to unsolicited visits from people knocking on their doors and so on. Does the Taoiseach think these kinds of union-busting tactics are acceptable? Does he not think people working for companies doing State contracts should be entitled to join unions like Unite? Will he make a strong statement on the matter in relation to Jones Engineering?",Employment & Labour,983
2025-04-29,Cabinet Committees,The Taoiseach,The Deputy is an elected representative and he has set himself up-----,Government & Administration,70
2025-03-06,Arts Policy,Deputy Patrick O'Donovan,"As the Deputy will appreciate, I have been rather busy since I went into the Department. The total cost of this scheme is €105 million. It was committed by the previous Government of which the Deputy was a member. Undoubtedly, this scheme has certainly had major benefits for the individual artists concerned. Now, we have an opportunity to do not only qualitative but also quantitative research regarding the output from the scheme. From the Deputy's time as the Minister for children, he will know that any decisions taken this far out from a budget cannot be undertaken without the context and input of the Department of Public Expenditure, National Development Plan Delivery and Reform. Once I have the research concluded, however, and have a qualitative and quantitative piece of work I can bring to the Government on the value accrued to the State from that €105 million allocated from the previous Government, I think that will probably colour the decision going forward. I am looking forward to seeing that research concluded soon.","Arts, Culture & Sport",1039
2024-09-18,Cabinet Committees,The Taoiseach,"That was the report I referenced. I will talk to the Minister for Health and the task force that he set up. I will familiarise myself and come back to the Deputy on whether that can be published. I certainly want to meet the advocacy groups with the head of the HSE and the Minister for Health at the start of next month to see how more progress can be made on this issue, and to discuss any information, reports or otherwise that are in place and that can be helpful in this regard. In response to Deputy Boyd Barrett regarding St. Michael's Hospital, the embargo has been lifted but there is a pay and numbers strategy, as there is for every organisation. Whether it is the Garda Commissioner, the Minister for Education or the head of the HSE, people have to hire in accordance with their budgets. There was a blunter instrument in place that was causing a significant challenge and we have replaced that with a very significant level of investment.",Government & Administration,952
2025-05-20,Common Agricultural Policy,Deputy Martin Heydon,"There are two parts to this. The multi-annual financial framework, or the overall budget for Europe, will determine so much of the second part around the CAP. That is why the Heads of State and Government, including the Taoiseach, will have a key role to play in terms of engagement at this level and at the European Council. The Government has been very fair in articulating its priorities around protecting the CAP structure and the very positive roles played by Pillars 1 and 2. I have highlighted my concerns about rumours circulating that there will somehow be a central pot that member states will pull out of, and also about the impact of this on the Single Market and cohesion. While the first part is the overall budget, the second involves ensuring a focus on delivering a simplified CAP. The points on simplification are to come this year. Some are administrative and will make a change, but the overall simplification will be in the design of the new CAP. There will be an element of national discretion whereby we this House and the key stakeholders will discuss how I can design a CAP that best suits our agricultural system. First and foremost, it is about protecting the budget and having it ring-fenced to deliver what we need it to do.",Agriculture & Rural,1253
2025-06-10,Energy Policy,Deputy Malcolm Byrne,"I welcome what the Minister is saying. The Secretary General might wish to reflect on some of her words because the Minister's Department is responsible for ensuring we have a sufficient level of energy. My frustration, as I know is the Minister's, is about the delays, particularly when it comes to offshore renewables. We are talking about 5 GW of offshore wind energy being generated by 2030. Our target then will be to get up to 20 GW by 2040. We need to start thinking at that level. I do not like it being presented as we only have this much energy, so we have to make a choice. We have got to be ambitious, even if it requires the Minister banging heads together every Monday morning, to ensure that we meet the renewable energy targets to fund the housing we need but also the digital economy. I welcome the Minister's ambition in that regard. The future is both green and digital.",Energy & Environment,889
2025-06-12,Defence Forces,Deputy Simon Harris,"I agree with the Deputy. What I am saying is I have a very open mind on his question. I believe we will need to do something in this space and I am considering what would be the best structure to put in place to examine this is because we should not just talk about recruitment and retention in general in respect of the Defence Forces. I hope and think we will be able to make more progress. We made some last year and I think we will make more this year. The Deputy’s point about the deep dive into the specialist areas, the pinch points and how the Defence Forces are doing at a time when the country has full employment is important. These people are highly skilled. It is not really an issue to recruit them but it is an issue to retain them. As the Deputy noted, the service commitment scheme we brought in for air traffic controllers is good. That is one area. There are also other pinch points, including in the Naval Service. We have local bargaining structures. They are meant to advance some of this but I am very open to considering, with colleagues in the Government, whether there is a better way of doing a deep dive. I intend to consider this with my officials over the summer and will come back to the Deputy in the autumn with my thinking on it.",Defence & Security,1263
2025-06-26,Television Licence Fee,Deputy Patrick O'Donovan,"The question is whether I will abolish the television licence and replace it with a tax. No, I will not. That is the end of that. I have no notion of doing it. That fund is in place to support RTÉ and public service broadcasters. It also supports Sound and Vision. I have no intention of replacing it. I also have no intention of going down a cul-de-sac as the Deputy would like us to do, which would be a road to nowhere for RTÉ and everyone associated with broadcasting. The short answer is ""No"".","Arts, Culture & Sport",498
2025-05-22,Community Development Projects,Deputy Colm Burke,"As the Minister knows, Ballincollig, which is in my constituency, won the Tidy Towns competition in 2024. It involved a huge contribution from the community over many years. A really strong community spirit has been created. The problem I now have in my constituency in places like Blarney and Glanmire which have had huge population increases is that we have not set aside facilities to be developed for the community. Glanmire, which has a population of more than 20,000, has no real community facility. I know we will work with the local authority on it but this is something that needs to be prioritised in growing areas. In Blarney, the proposal is for 2,500 more houses to be built. Planning was granted for the first tranche of 270 houses in the past two weeks. The planning for community facilities also needs to be put in place. In my home parish of Innishcarra, there are 50 acres of community facilities. The GAA, the camogie club and the rugby club all have their own grounds in the centre of the community, all in one piece. The Minister should visit to see how a community can work. I am concerned that in areas where there is huge growth in population we are not planning for it. The Department needs to look at this issue very carefully.",Government & Administration,1253
2025-05-01,Social Welfare Schemes,Deputy Dara Calleary,"I will clarify it for the Deputy after the debate. We are looking at everything. I will not accept the contention that we do not value carers. We absolutely do value them. We have shown through a number of initiatives in recent years that we do so. There have been initiatives in successive budgets and contributions around income disregards and the carer's support payment. We have introduced insurable credits. That shows that people who have cared over many years can now get a contributory State pension, something they could not do before the introduction of that measure. I will revert to the Deputy on the report. We had engagement with carers' organisations yesterday on their agendas, not just in the social protection space but across other Departments. We will work with colleagues across Government on carers to improve their lives. I value each and every one of them, not just for the what they are doing for the State but for communities around the country, their families and the people they care for. While I have the privilege of being a Minister for Social Protection, I will work to ensure that our Department does everything it can to protect and engage with carers. We will have direct engagement with carers from all over the country in the carers forum during May.",Social Welfare,1287
2024-10-17,Air Navigation Orders,Deputy Ruairí Ó Murchú,"Could the Minister provide a timeline for when the examination will be completed? What we had seen onThe Ditchabout what was believed to be weaponry travelling through Irish sovereign airspace would not be acceptable, I hope, to most right-thinking people regarding what is a genocidal slaughter being carried out by the IDF against the Palestinian people. We need to make sure this happens as soon as possible. The Minister mentioned provisional information and said that some of these goods, for want of a better term, might not have needed an exemption. That implies others did. Could the Minister give any specifics in that regard? Does it mean we have to actually look at our rules on what requires an exemption? I accept the difficulties with dual-use goods, but we need to make sure that our hands are absolutely clean and that we play our part in calling out Israel and the utter disgrace of what it is doing at the moment.",Defence & Security,931
2024-10-22,Housing Schemes,"Minister for Housing, Local Government and Heritage (Deputy Darragh O'Brien)","Affordability and the chance to own your own home are at the heart of this Government’s housing policy. Since 2021, over 8,500 housing supports have been delivered through the various measures we have established and are implementing with our delivery partners. Since the launch of Housing for All, close to 1,000 local authority affordable purchase homes at upfront affordable prices have been provided. The pipeline continues to grow because over 3,100 affordable purchase homes have been approved for funding support across 21 local authority areas. The upfront price that purchasers availing of the local authority affordable purchase scheme pay for their new home is based on their purchasing power and means. The affordability gap between the market value of the home and the upfront price sets the size of the equity stake held by the local authority, generally redeemable at a time of the purchaser's choosing. Operating under similar principles, the first home scheme is a further key support for first-time buyers. The published report for the scheme for quarter 3 of this year shows that more than 5,560 approvals have issued since its launch in 2022. I remind the Deputy that this is a scheme he would abolish, that is actually helping first-time buyers to purchase their home. Together with the Croí Cónaithe towns schemes and the help-to-buy scheme, these affordable purchase measures are seeing high demand and are proving highly effective in addressing the affordability challenges so many people are facing. We recognise that. We have made progress but challenges remain. These schemes are working. The prices are transparent. The equity stake is absolutely transparent. We are building that pipeline across the country, an affordable scheme that works, not an illusion of home ownership that you have put forward in your alternative plan.",Housing,1856
2025-06-17,Disability Services,Deputy Hildegarde Naughton,"The Government recognises the importance of early intervention for children with disabilities and ensuring they receive the right services at the right time. Under the programme for Government, we are committed to ensuring children and their families who need early intervention and therapy input can access it in a timely way. The key vehicle for change and improvement is the roadmap for service improvement for disability services for children and young people. The implementation of this roadmap is well under way and will continue until 2026. The roadmap contains an important set of actions that, collectively, will enhance children’s disability services in Ireland. They include significant measures to integrate and improve access to services, expand the workforce and advance better communication and engagement with families. A key part of this work has been the improvement of access to services through the CDNTs. They are providing supports and services to more than 43,000 children. I fully acknowledge that there is still a lot more to do. Recruitment and retention of health and social care professionals is the most significant challenge and work is ongoing to increase staffing levels. The HSE has advised that the most recent CDNT workforce survey available was conducted in April. This survey demonstrates an overall national increase of an additional 8% in staffing in CDNTs, compared with the workforce at the review in October 2024. This brings the total number of whole-time equivalents to 2,009. The Department is working with the HSE to introduce specific recruitment and retention incentives for therapists to work in CDNTs, including a sponsorship initiative and facilitating direct access for funded agencies to existing professional panels.",Health,1770
2025-02-26,Defence Forces,An Cathaoirleach Gníomhach (Deputy Catherine Connolly),"Tá cúpla soicind fágtha ach ní fiú dul ar aghaidh le haon cheist eile, faraor. Is é sin deireadh le ceisteanna chun an Tánaiste agus an Aire Cosanta.",Defence & Security,149
2025-06-12,State Examinations,Deputy Helen McEntee,"No, I do not. The Deputy said himself that teachers want leaving certificate reform. It is something they agree with. I point to the fact 73% of TUI members voted in favour of the measures. The ASTI and the TUI engaged very positively with my Department on this package of measures and asked for much of what is in this document. The vote was not on whether they support leaving certificate reform or otherwise; it was on whether they wanted additional supports to enact something they have already agreed to. Both the ASTI and the TUI as part of the public sector pay agreement which was negotiated and agreed in early 2024 signed up to co-operating with senior cycle redevelopment at that stage. A similar commitment is contained in the education sectoral plan, which was agreed in September 2024. All of what we have discussed are additional supports to protect them. To answer the Deputy’s first question, my Department has written to both associations. I noted the outcome of the ballots of both the TUI and the ASTI and have restated that leaving certificate reform will go ahead. It is absolutely essential it does. I have restated that the package of supports which is still on the table for the ASTI is balanced and fair and was brought about by that positive engagement. That package is still there. I want to ensure that students and teachers benefit from those supports, which is something we all want to see happen.",Education & Childcare,1428
2025-03-06,State Bodies,Deputy Patrick O'Donovan,"I do not disagree with the Deputy. The committee I have established to examine the governance of the Arts Council is being led by Professor Niamh Brennan. It includes Margaret Cullen and John McCarthy. They have all in their own right plenty of experience of examining corporate governance in other areas as well. I do not disagree with the Deputy with regard to the Department's role but I have to find out first of all the level of detail that is required here. I will bring a report to the Government first and I will lay it before the Dáil. It is in my interests and in the Department's interests to get public confidence in the moneys that are voted from here to the Department in order to make sure that the Department and its agencies spend money wisely on behalf of the taxpayer. I have no issue with that. I am not suggesting that the Deputy is suggesting this, but I am not in any way attempting to hide anything here. The most important thing is that Niamh Brennan's committee be asked to do a body of work by me and get it done as quickly as possible. Separately, I will deal with the National Gallery and any other issues there as well, and I will lay all of them before the Houses of the Oireachtas. There is no issue in that regard.",Government & Administration,1247
2024-09-24,Pension Provisions,Deputy Aindrias Moynihan,"I thank the Minister. The modifications that were made were very beneficial, especially for people who are caring for children throughout much of their life. This situation arises for people who take on a caring role later in life, in their 40s, 50s and 60s. I would welcome an opportunity to review the scheme and include it in any of the next steps that will be taken. Is there any indication of a timeframe or was a review carried out as part of that process? It would be helpful if there was any indication on that.",Social Welfare,519
2025-05-08,Sports Funding,Deputy Charlie McConalogue,"I would certainly be delighted to visit because it sounds like one of the prime examples of what is possible and how, by collaborating, we can maximise the impact of this investment. That is something we want to see more of across the country and, anywhere there is an opportunity to do that, to back it. We are also looking at how we can work in as strong a way as possible through integrating and working with schools and school settings so those facilities that might not otherwise be used often during the day, where possible, can be available close to the schools. It is about taking a strategic approach, continuing to back the wonderful work that clubs are doing and making sure the investment they are making, and the State is making to support them, is delivering the best possible return on participation in local communities and giving opportunities for people across all ages and capabilities to participate in sporting activity.","Arts, Culture & Sport",941
2024-10-22,Housing Schemes,Deputy Darragh O'Brien,"We have already seen that the public are responding to cost rental. The Deputy knows that and it might disappoint him, but the Government's Housing for All plan, as he knows, targets the delivery of 18,000 cost-rental homes by approved housing bodies, AHBs, the Land Development Agency, which the Deputy would abolish, and local authorities, although he has not yet said how Sinn Féin will engage them to build properties. I have approved funding for the acquisition of cost-rental homes in O'Devaney Gardens and Oscar Traynor Road, a scheme the Deputy railed against, under the cost-rental equity loan scheme, which provides funding to AHBs of up to 55% of capital costs through a combination of long-term, low-interest loans and State equity investment. As arrangements are still being finalised by delivery partners, full details relating to the cost rents are not yet publicly available. These details will be announced in due course, closer to the time of delivery, and I will make sure the Deputy will be one of the first to know. Additionally, the LDA is partnering with Dún Laoghaire-Rathdown County Council to deliver 195 cost-rental homes at Shanganagh Castle. Again, the proposed cost rents are being finalised and are subject to a designation process but are anticipated - I say this to be helpful - to be in the region of €1,250 per month, with applications opening later this year. That is long-term, secure, State-backed affordable rents. In all those cases, the minimum threshold we have set, of 25% below market price, will be greatly exceeded. We are looking at a range of 30% to 35% for reductions on what the rents would be on the open market. The delivery of cost-rental homes on each of these sites will contribute to sustainable mixed-tenure communities, alongside high-quality affordable homes and very good affordable purchase homes also supported by the Government and my Department. The LDA is due to advertise and launch the cost-rental homes at Shanganagh Castle next month and the details of these cost rents will be made available at that time, including to the Deputy.",Housing,2100
2024-09-19,Vacant Properties,Deputy Michael Moynihan,"That and the vacant property grant have been a seachange in terms of the way young couples in rural Ireland in particular look at older properties when a short number of years ago they were not being looked at all regarding the possibility of being renovated. Right across the north Cork and the Duhallow regions, the uptake has been hugely positive, it has brought stock back in, as have the SEAI grants. It is important that the expertise grants, the vacant property grants and the SEAI grants continue as they help young people to get homes of their own in their own communities. It also ensures that our rural communities remain vibrant into the future and that young families are setting up there as well. All of these grants are therefore vitally important. It is also vitally important that they are assessed and strengthened as we go forward.",Housing,850
2025-02-25,Disability Services,Deputy Hildegarde Naughton,"As the Deputy knows, we have the pilot of in-school therapists in Dublin, Cork and Galway being rolled out. He is absolutely correct about recruitment and the need to ensure we are recruiting. We have recruitment efforts across the HSE, section 38 and section 39 organisations to on-board staff and have sustained outreach and engagement, for example, with secondary schools and higher education institutions to expose more students to the rewarding and impactful nature of working in the disability services and CDNTs. Seven of the disciplines working on our CDNTs have been included on the critical skills occupation list, enabling non-EEA nationals to be eligible for a work permit. Also, on further supported service provision, there is ongoing development of additional disciplines to expand the skills mix and applicant pools, including development of the role of health and social care therapy assistant in 2024. In addition, practice education placements in CDNTs continue to be increased, alongside expanding the number of places in higher education to make sure we have the pipeline of therapists coming through.",Health,1122
2024-10-15,Renewable Energy Generation,Deputy Ruairí Ó Murchú,"I get the idea of front-line energy and managing the system. At the moment, gas is being bought from Energia which deals with a management company which is made up of the residents. It creates a whole pile of issues. I have spoken to some third party companies about this matter. They are considering anything that could be a geothermal solution, for example, a column-type system allied with a hybrid system with a number of heat pumps, even if they are not specific to each residence. We need to make changes to the support scheme for renewable heat so that it might suit this type of system, enabling a long-term contract to be drawn up between the management company, the third party provider and the likes of Frontline Energy in order to provide something that is better in terms of the environment and cost.",Energy & Environment,813
2025-06-24,Public Transport,Deputy Pa Daly,"Of course, the Minister of State is more than welcome any time. Perhaps we could take a bus trip around west Kerry during the recess. That applies to the Minister as well. There is a feeling that there is a regional imbalance and that the infrastructure is much better in the cities than it is in, for example, west Kerry. Cars are the dominant mode of transport in rural Ireland. They are used for 82% of all trips. The National Transport Authority's latest household travel survey demonstrates that a significant portion of the population does not access public transport services at all. From the massive increase in the numbers accessing the services that have been provided, we see that, when they are provided, people will use them. We can see that from the Local Link services, where demand is outpacing what is being delivered. We have a problem, in that, because of the housing crisis, many students are talking public transport to college. The bus from Ballybunion through Listowel and into Tralee is oversubscribed. Will the Minister of State commit to producing another bus for September?",Transport & Infrastructure,1100
2025-02-13,Defective Building Materials,Deputy Kevin Boxer Moran,I do not have the reply. I understood that it had been changed. I do not have it.,Housing,81
2025-05-22,Further and Higher Education,Deputy Marian Harkin,"As background to the strategy, its implementation resulted in significant progress between 2014 and 2019 in the development of the FET sector within the overall education landscape. Of course, we are now looking to the future. The second strategy from 2020-24 set out the role of FET in a more collaborative and cohesive tertiary education system for Ireland. Now, we are looking at the 2025-29 strategy, the third strategy. In developing this strategy, there is an acknowledgement that the FET sector has undergone a significant transformation in the past five years. It is important that we continue with the trajectory in order that FET can be a pivotal driver of sustainable economic growth, workforce development and, particularly, lifelong learning.",Education & Childcare,755
2025-03-19,Cabinet Committees,The Taoiseach,"Quite a number of Deputies have asked questions. With regard to the broader picture, the humanitarian assistance scheme has not closed yet. This is my understanding. I think it has been extended. I spoke to the Minister this morning about it and I will clarify it. This is the position as I understand it. The Minister is evaluating the applications that come in. The existing scheme is catered for in regulation, so it is not moving or shifting the goalposts. In the programme for Government, we identified the need for a more comprehensive bespoke scheme to deal with events of the nature of Storm Éowyn. I agree fully with Deputy Moynihan regarding energy. For the information of all Deputies, the agenda is to get to 80% of electricity generation coming from renewables by 2030. That objective has not changed. The suggestion from Deputies Moynihan, Bacik, Murphy and Boyd Barrett is that we have torn up the climate Act. We have not. That is a false assertion. However, Deputy Moynihan's point is very valid. If I listen to others in the House, they are saying, essentially, that we are in goodbye-to-the-economy territory. When you go to the US and other places, you meet people like those at Hanley Energy, for example. That company's technology is in every data centre in the world. It employs 800 people, including 400 in America and 400 here. Its technology is all about reducing and about doing everything possible to moderate the energy output of data centres and so on. In the context of the AI revolution, we have, essentially, had a moratorium on data centres for the past three or four years. If the Deputies opposite are suggesting that we extend that moratorium for another five years, we will have a real problem with our economy.",Government & Administration,1749
2025-05-27,Cabinet Committees,Deputy Albert Dolan,"In the first three months of the year, venture capital investment in Irish firms has surged to €587 million. This is a huge sign of confidence and hope for indigenous businesses. However, as the Taoiseach knows, we are going through global upheaval and massive global uncertainty, which require that the Government ensure these businesses have stability and a pathway forward. Does the committee have any plans to support Irish indigenous SMEs and ensure they are successful into the future?",Government & Administration,491
2025-05-15,Housing Provision,"Minister for Housing, Local Government and Heritage (Deputy James Browne)","I thank the Deputy for his question on departmental approvals for social and affordable housing. The Government is committed to working with all stakeholders to deliver social, affordable and cost-rental homes at scale and to continue accelerating housing supply across all tenures. This is demonstrated by the record level of investment for the delivery of housing in 2025, with overall capital funding now available of almost €6.8 billion. With regard to approvals, the Department continues to both receive and issue approvals and, indeed, make payments to AHBs and local authorities. Only this week, a number of applications for new-build social housing projects were approved and approval letters issued. Since the beginning of the year, the Department has released funding of over €1.1 billion for the social and affordable housing build programmes to local authorities and approved housing bodies, and payments continue to be issued. It is important to note that developers and AHBs can begin their conversations with local authorities regarding projects significantly ahead of lodging a formal application to my Department. There will always be projects on hand with my Department, either under assessment or the subject of further engagement with local authorities or AHBs. This is perfectly normal. The ongoing NDP review will determine capital budgets for the period 2026 to 2030. The outcome of this review will determine the available capital funding for social and affordable housing out to 2030, and this has been communicated to local authorities and approved housing bodies.",Housing,1590
2025-04-10,Renewable Energy Generation,Deputy Darragh O'Brien,"The local authorities are doing a good job retrofitting social housing stock. I had experience of that in my previous portfolio. We have an exacting target of retrofitting 500,000 homes by 2030. At the last count, the figure stood at approximately 165,000 across the country, both public and private. However, there is work to do be done. To answer the Deputy's question on the grant offering, I have asked the SEAI to come back to me with options on that. I want to conclude that before the summer but I am not going to rush into it either. There are areas of the grants that are working very well but I want to make them more accessible. We have also expanded the energy retrofit loan scheme, as the Deputy will have noticed. If that is available, the interest rate is generally around 3% or less. The heat policy statement is important and will guide us in this area. To inform the House as to where that is, I have a draft statement, which has been informed by the findings of the national heat study prepared by my Department. We have had consultations with other State agencies and Departments. A strategic environmental assessment, SEA, has been completed and a public consultation on the SEA report and draft heat policy statement will now be undertaken. I expect that to be done in the coming weeks. That will go out to public consultation and inform how we move forward. I thank the Deputy for his question.",Energy & Environment,1417
2025-05-29,Financial Services,Minister for Finance (Deputy Paschal Donohoe),"As I already outlined in the House earlier this week, the Central Bank does not sell or oversee the sale of Israeli bonds. It is important to be clear as to the role of the Central Bank because it has been misrepresented repeatedly. To be clear again, the Central Bank's role under EU legislation is to assess the bond prospectus to ensure that it includes all the disclosure requirements of the EU prospectus regulation. Neither the issuer - in this case the State of Israel - nor the financial products become regulated or endorsed as a result of the assessment. The Central Bank is designated as the Irish competent authority for the approval of securities prospectuses under the relevant regulation. As the competent authority, the Central Bank is responsible for assessing whether a prospectus has been drawn up in compliance with the disclosure requirements of the regulation. Once the bank is satisfied that the issuer has disclosed the required information, in the required manner as set out in the regulation so that investors can make an informed investment decision, there is no discretion and it must approve it. It is important to reiterate that by approving a prospectus, it does not endorse the issuer or the securities. The Central Bank has been clear that it can only refuse the approval of a prospectus once it has the legal basis to do so. The Governor of the Central Bank in his correspondence to the Joint Oireachtas Committee on finance, public expenditure and reform and the Department of the Taoiseach set out this view. The Government's position on this matter has been clear and I have set it out to the House during the week.",Economy & Business,1652
2025-04-29,Childcare Services,Deputy Grace Boland,"That is very welcome news. If the 78 applicants do not take up the €25 million, I ask the Minister to urgently reopen the scheme. Seven weeks was not a very long window for childcare providers to make applications to the scheme, so I would very much like her to look at reopening it if the money is not all utilised. In addition to that, however, I would very much appreciate it if the Minister looked for additional funding. We really need to prioritise areas like mine - Skerries, Balbriggan, Rush and Lusk - and do everything we can to provide more childcare facilities in these areas. We are not just doing families, women and parents a disservice; it is also a loss to the Irish economy. Female participation over the past 40 years has really driven the success of the Irish economy. Our best resource is our highly educated women and men. If we do not have childcare for them, we are failing ourselves as an economy, as well as parents and children who are unbelievably stressed by not having access to childcare.",Health,1019
